WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GASD00000839,SD 839,32.749,-116.906,PCE,<,0.5,UG/L,5/27/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000935,SD 935,33.1,-116.607,PCE,<,0.5,UG/L,12/16/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000823,SD 823,33.016,-116.9,PCE,<,0.5,UG/L,5/14/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,SANTA MARIA VALLEY (9-11),71,38
GASD00000892,SD 892,32.679,-116.324,PCE,<,0.5,UG/L,6/19/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000918,SD 918,33.069,-117.082,PCE,<,0.5,UG/L,12/9/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,77,38
GASD00000827,SD 827,32.988,-116.891,PCE,<,0.5,UG/L,5/15/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000856,SD 856,33.36,-117.23,PCE,<,0.5,UG/L,6/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000902,SD 902,32.69,-116.475,PCE,<,0.5,UG/L,12/2/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,COTTONWOOD VALLEY (9-27),71,40
GASD00000903,SD 903,33.06,-116.651,PCE,<,0.5,UG/L,12/2/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000927,SD 927,33.069,-116.821,PCE,<,0.5,UG/L,12/17/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000868,SD 868,32.848,-116.87,PCE,<,0.5,UG/L,6/11/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000806,SD 806,32.993,-116.849,PCE,<,0.5,UG/L,4/30/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000914,SD 914,33.083,-116.583,PCE,<,0.5,UG/L,12/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,NO BASIN FOUND,71,38
GASD00000946,SD 946,33.088,-116.115,PCE,<,0.5,UG/L,1/8/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,BORREGO VALLEY (7-24),71,38
GASD00000948,SD 948,33.221,-116.354,PCE,<,0.5,UG/L,1/20/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,7,BORREGO VALLEY (7-24),71,38
GASD00000886,SD 886,32.647,-116.488,PCE,<,0.5,UG/L,6/18/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,CAMPO VALLEY (9-28),71,40
GASD00000885,SD 885,32.842,-116.613,PCE,<,0.5,UG/L,6/17/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000803,SD 803,33.006,-116.795,PCE,<,0.5,UG/L,4/29/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000911,SD 911,32.602,-116.682,PCE,<,0.5,UG/L,12/4/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
